Store_ID,Address,pickuploc,pickupcity,pickupstate,pickupzip
1,"Whole Foods Market,1 N Halsted St, Chicago, IL 60661",Whole Foods Market,Chicago,IL,60661
2,"Trader Joes,667 W Diversey Pkwy, Chicago, IL 60614",Trader Joes,Chicago,IL,60614
3,"Walmart Neighborhood Market,4720 S Cottage Grove Ave, Chicago, IL 60615",Walmart Neighborhood Market,Chicago,IL,60615
4,"Petes Fresh Market,2333 W Madison St, Chicago, IL 60612",Petes Fresh Market,Chicago,IL,60612
5,"Marianos,1615 S Clark St, Chicago, IL 60616",Marianos,Chicago,IL,60616
6,"Patel Brothers,2610 W Devon Ave, Chicago, IL 60659",Patel Brothers,Chicago,IL,60659
7,"Food 4 Less,112 W 87th St, Chicago, IL 60620",Food 4 Less,Chicago,IL,60620
8,"Park To Shop Supermarket,2425 S Wallace St, Chicago, IL 60616",Park To Shop Supermarket,Chicago,IL,60616
9,"Fresh Thyme Farmers Market,2500 N Elston Ave, Chicago, IL 60647",Fresh Thyme Farmers Market,Chicago,IL,60647
10,"Fresh Market Place,2134 N Western Ave, Chicago, IL 60647",Fresh Market Place,Chicago,IL,60647
